1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.62313,0.22014,0.55683,0.63786,-0.23341,-0.36077,0.46016,0.21544,-0.75053,0.15093,0.32179,0.33551,-0.36077,-0.6262,0
-2.1395,-2.4394,-2.5293,-2.3397,-1.5203,-0.69858,1.7976,2.5687,-0.67876,-1.8789,-1.8399,0.6299,-0.69858,3.0806,0
-2.1342,-2.1682,-2.2555,-2.334,-0.81003,-0.3612,0.1203,0.32221,-0.57031,-1.5012,-1.9475,-0.65304,-0.3612,3.0663,0
1.4685,0.73843,1.5744,1.2936,1.5453,-0.36269,-0.67495,-0.88444,0.52657,1.7819,0.9135,-0.51143,-0.36269,-0.99172,0
-0.0053492,-0.3276,-0.13039,0.026281,-0.54522,-0.36407,0.60581,0.48988,-1.088,-0.11022,-0.60931,-1.0365,-0.36407,-0.20284,0
0.30924,-0.31806,0.20144,0.035897,0.43108,-0.36225,-0.094953,-0.27727,0.50385,-0.48709,-0.96246,-0.77087,-0.36225,-0.21024,0
0.30699,0.15609,0.32444,0.33006,0.32536,-0.36268,-0.1787,-0.32526,0.15003,0.41584,-0.28972,-0.89948,-0.36268,-0.42462,0
0.31279,-0.31444,-0.13626,0.039542,-0.45617,-0.69751,0.51415,0.37534,0.81312,-0.54462,-0.40734,0.79876,-0.69751,-0.21305,0
1.2241,0.73864,1.5542,1.2197,1.8904,-0.36265,-0.77174,-0.96667,0.43608,0.81328,0.84591,-0.37603,-0.36265,-0.95531,0
1.5337,0.74247,1.5149,1.2237,1.5641,-0.36205,-0.67994,-0.87043,1.6092,3.1231,0.63856,-2.595,-0.36205,-0.95733,0
0.00084899,-0.4003,-0.25972,0.033036,-1.1808,-0.3628,0.73573,0.62469,-0.18398,-0.33367,-0.57789,-0.086232,-0.3628,-0.20804,0
1.2923,0.74587,1.3278,1.2272,0.60711,-0.36151,-0.474,-0.7305,-0.080715,0.97986,0.66883,-0.42349,-0.36151,-0.95912,0
1.5311,0.73992,1.2824,1.5176,0.4664,-0.36246,-0.018262,-0.34151,0.07861,2.2902,0.17697,-2.4331,-0.36246,-1.102,0
1.222,0.73642,1.293,1.2175,0.99553,-0.36301,-0.4078,-0.69072,1.8097,1.2417,1.0828,-0.50828,-0.36301,-0.95413,0
-0.60625,-0.84562,-0.58596,-0.55528,-0.28014,-0.36181,-0.052711,-0.078895,0.51346,-0.39609,0.040857,0.46691,-0.36181,0.30091,0
0.30664,-0.056033,0.51624,0.033222,1.565,-0.36275,-0.7612,-0.86466,-0.77422,0.19218,0.99513,1.1054,-0.36275,-0.20819,0
0.61402,0.47526,0.69651,0.62803,0.34792,-0.36244,0.10951,-0.12705,-0.40733,0.4072,0.88804,-0.0037278,-0.36244,-0.62009,0
1.2233,0.7378,1.1324,1.2189,-0.00095049,-0.027257,0.011791,-0.32538,-0.48067,1.0066,1.3832,1.2699,-0.027257,-0.95485,0
1.2357,0.75066,0.95138,1.2321,-0.72377,-0.36075,0.88443,0.60948,0.51418,0.58129,2.3999,1.668,-0.36075,-0.96165,0
0.30673,-0.32063,-0.0014045,0.033309,-0.47191,-0.36274,0.63562,0.4947,0.49552,0.18222,0.33119,-0.40806,-0.36274,-0.20825,0
0.31316,0.21596,0.54775,0.33676,1.365,-0.1935,-0.6921,-0.82666,-1.0373,0.29514,0.31363,0.091476,-0.1935,-0.42924,0
-0.91428,-1.113,-1.0309,-0.8544,-0.60623,-0.36235,0.53284,0.5342,-0.001331,-0.83069,-0.32842,0.7848,-0.36235,0.6113,0
0.30803,-0.054552,0.13711,0.18292,-0.067859,-0.36249,0.42621,0.19248,-0.15949,0.023465,-0.028534,-0.25205,-0.36249,-0.31734,0
-2.1418,-2.4421,-2.4232,-2.3422,-1.3072,-0.36402,1.0881,1.5952,-0.64487,-1.7661,-1.8762,0.45169,-0.36402,3.087,0
0.31315,-0.31408,-0.044043,0.33675,-1.1788,-0.69747,1.7552,1.8477,-0.88906,-0.22531,-0.41229,-0.31742,-0.69747,-0.42923,0
-2.1401,-2.4402,-2.4921,-2.3404,-1.4499,-0.3634,1.4893,2.101,-0.74087,-1.56,-1.7736,0.38408,-0.3634,3.0824,0
0.30481,-0.2432,0.14571,0.3277,-0.34757,-0.69854,0.55032,0.35728,-0.85526,-0.14266,0.29059,-0.33702,-0.69854,-0.42299,0
0.30725,-0.055388,0.1899,0.33034,-0.27575,-0.36264,0.44781,0.2307,-0.12272,-0.33388,-0.92117,-0.81667,-0.36264,-0.42481,0
1.2277,0.74236,1.3287,1.2236,0.92031,-0.36207,-0.46245,-0.7043,0.48,1.2116,1.6197,0.80272,-0.36207,-0.95727,0
1.5314,0.74023,1.4468,1.5179,1.054,-0.36241,-0.46767,-0.77051,0.83718,2.7655,0.46275,-2.3421,-0.36241,-1.1022,0
0.61768,-0.050559,0.44375,0.33524,0.61116,-0.36177,-0.31741,-0.52246,-0.33473,0.6587,-0.011985,-0.46854,-0.36177,-0.42819,0
1.2854,0.73875,1.2104,1.2199,0.036601,-0.36265,0.0023601,-0.3188,-0.42599,1.6287,0.79497,-0.99578,-0.36265,-0.95536,0
1.2334,0.7483,1.3065,1.2297,0.94672,-0.36112,-0.21831,-0.52144,0.55561,1.0959,0.34164,-0.54983,-0.36112,-0.96041,0
-0.91979,-1.1192,-0.94526,-0.86057,-0.50201,-0.36375,0.45781,0.42913,0.68188,-0.63797,-0.4696,-0.68919,-0.36375,0.61814,0
0.29737,-0.11879,0.11239,0.023702,-0.13519,-0.36455,0.42839,0.22402,0.84141,0.0072612,0.084766,0.27254,-0.36455,-0.20085,0
-2.1405,-2.1761,-2.2564,-2.0445,-0.90015,-0.36352,0.48276,0.7912,-0.98014,-1.4595,-1.1369,1.0102,-0.36352,2.4106,0
0.29642,0.19719,0.3146,0.3186,0.61892,-0.029841,-0.30542,-0.47113,0.21408,-0.57505,-0.21421,0.36795,-0.029841,-0.41669,0
0.30405,-0.058813,0.26655,0.17871,0.040628,-0.36326,-0.040586,-0.27152,-0.44224,-0.069211,-0.36801,-0.44847,-0.36326,-0.31427,0
0.30405,-0.058813,0.26655,0.25279,0.13305,-0.36326,-0.10728,-0.3262,-0.27922,-0.13194,-0.40604,-0.36056,-0.36326,-0.36834,0
